"e_id";"c_id";"charge_box_id";"tag_id";"tx_id";"grossR";"tax";"txFee";"elecR";"revShare";"netRev"
"30";"25";"USFL789";"94D3BDD3";"1001";"0.001000";"0.000075";"0.000080";"0.000000";"0.000521";"0.000925"
"30";"25";"USFL789";"94D3BDD3";"1118";"0.101000";"0.007575";"0.008080";"0.000000";"0.052646";"0.093425"
"30";"25";"USFL790";"341DBBD3";"1119";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
"30";"25";"USFL790";"94D3BDD3";"1120";"7.461000";"0.559575";"0.596880";"0.000000";"3.889046";"6.901425"
"30";"25";"USFL791";"RFIDTAGGOO0002072";"1015";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
"30";"25";"USFL792";"94D3BDD3";"1002";"0.035000";"0.002625";"0.002800";"0.000000";"0.018244";"0.032375"
"30";"25";"USFL792";"94D3BDD3";"1125";"0.513000";"0.038475";"0.041040";"0.000000";"0.267401";"0.474525"
"30";"26";"USFL793";"341DBBD3";"1124";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
"30";"26";"USFL794";"341DBBD3";"1123";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
"30";"26";"USFL795";"341DBBD3";"1122";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
"1";"2";"USFL788";"RFIDTAGGOO0002072";"1054";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
"27";"7";"USFL800";"RFIDTAGGOO0002072";"1013";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
"27";"7";"USFL800";"B468ACD3";"1208";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
"27";"7";"USFL800";"B468ACD3";"1210";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
"27";"7";"USFL800";"B48AB2D3";"1212";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
